Distance [mm],Bx,By
82.5,-0.000072051,0.000159207
82.6,-0.00007153,0.000158798
82.7,-0.00007101,0.000158389
82.8,-0.000070489,0.00015798
82.9,-0.000069969,0.000157571
83,-0.000069448,0.000157161
83.1,-0.000068975,0.000156754
83.2,-0.00006854,0.000156347
83.3,-0.000068052,0.000155913
83.4,-0.000067506,0.000155448
83.5,-0.000066959,0.000154982
83.6,-0.000066418,0.000154509
83.7,-0.000065902,0.000154002
83.8,-0.000065386,0.000153495
83.9,-0.000064871,0.000152995
84,-0.000064359,0.000152529
84.1,-0.000063961,0.000152029
84.2,-0.00006357,0.000151527
84.3,-0.000063178,0.000151026
84.4,-0.000062787,0.000150533
84.5,-0.000062396,0.000150058
84.6,-0.00006193,0.000149656
84.7,-0.000061427,0.000149235
84.8,-0.000060958,0.00014885
84.9,-0.000060489,0.000148466
85,-0.000060096,0.000148073
85.1,-0.00005973,0.000147679
85.2,-0.000059363,0.000147284
85.3,-0.000058912,0.000146899
85.4,-0.000058471,0.000146511
85.5,-0.000058116,0.000146098
85.6,-0.000057756,0.000145684
85.7,-0.000057361,0.00014527
85.8,-0.000056966,0.000144857
85.9,-0.000056572,0.000144443
86,-0.000056182,0.000144103
86.1,-0.000055793,0.000143783
86.2,-0.000055404,0.000143462
86.3,-0.000054999,0.000143079
86.4,-0.000054594,0.000142685
86.5,-0.000054187,0.000142263
86.6,-0.000053781,0.00014184
86.7,-0.000053394,0.000141417
86.8,-0.000053007,0.000140994
86.9,-0.000052651,0.000140606
87,-0.000052322,0.000140245
87.1,-0.000051992,0.000139885
87.2,-0.000051672,0.000139513
87.3,-0.000051352,0.00013914
87.4,-0.000051011,0.000138745
87.5,-0.000050648,0.000138324
87.6,-0.000050284,0.000137904
87.7,-0.000049918,0.000137506
87.8,-0.000049551,0.000137128
87.9,-0.00004919,0.000136733
88,-0.000048863,0.000136332
88.1,-0.000048561,0.000135996
88.2,-0.00004826,0.000135659
88.3,-0.000047958,0.000135322
88.4,-0.000047654,0.000134981
88.5,-0.000047363,0.000134653
88.6,-0.000047108,0.000134342
88.7,-0.000046862,0.000134018
88.8,-0.000046617,0.000133694
88.9,-0.000046372,0.00013337
89,-0.000046127,0.000133046
89.1,-0.000045882,0.000132722
89.2,-0.000045637,0.000132397
89.3,-0.000045309,0.000131983
89.4,-0.000044944,0.000131537
89.5,-0.000044579,0.000131092
89.6,-0.000044222,0.000130667
89.7,-0.000043913,0.000130345
89.8,-0.000043645,0.000129986
89.9,-0.000043377,0.000129628
90,-0.000043109,0.00012927
90.1,-0.00004284,0.000128913
90.2,-0.000042588,0.000128573
90.3,-0.000042349,0.000128252
90.4,-0.000042111,0.000127937
90.5,-0.000041872,0.000127622
90.6,-0.000041625,0.00012731
90.7,-0.000041364,0.000127004
90.8,-0.000041053,0.000126663
90.9,-0.000040733,0.000126315
91,-0.000040413,0.000125967
91.1,-0.000040206,0.000125607
91.2,-0.000040004,0.000125248
91.3,-0.000039802,0.000124888
91.4,-0.0000396,0.000124528
91.5,-0.000039344,0.000124189
91.6,-0.000039058,0.000123902
91.7,-0.00003877,0.000123618
91.8,-0.000038482,0.000123335
91.9,-0.000038231,0.000123042
92,-0.00003805,0.000122729
92.1,-0.000037865,0.000122416
92.2,-0.000037675,0.000122101
92.3,-0.000037485,0.000121776
92.4,-0.000037261,0.000121451
92.5,-0.000037038,0.000121127
92.6,-0.000036815,0.000120802
92.7,-0.000036589,0.000120489
92.8,-0.000036358,0.000120194
92.9,-0.000036128,0.000119899
93,-0.000035907,0.000119595
93.1,-0.000035686,0.000119291
93.2,-0.000035466,0.000118987
93.3,-0.000035246,0.000118672
93.4,-0.000035026,0.000118354
93.5,-0.000034807,0.000118035
93.6,-0.000034587,0.000117714
93.7,-0.000034366,0.00011737
93.8,-0.000034155,0.000117063
93.9,-0.000033951,0.000116781
94,-0.000033752,0.00011649
94.1,-0.000033552,0.0001162
94.2,-0.000033353,0.00011591
94.3,-0.000033153,0.000115611
94.4,-0.000032954,0.000115308
94.5,-0.000032755,0.000115005
94.6,-0.000032556,0.000114701
94.7,-0.000032357,0.000114398
94.8,-0.000032168,0.000114105
94.9,-0.000031989,0.000113805
95,-0.00003181,0.000113505
95.1,-0.000031632,0.000113205
95.2,-0.000031442,0.000112906
95.3,-0.000031235,0.00011261
95.4,-0.000031028,0.000112315
95.5,-0.000030805,0.000112006
95.6,-0.000030633,0.000111747
95.7,-0.000030463,0.000111489
95.8,-0.000030292,0.000111231
95.9,-0.000030119,0.000110972
96,-0.000029939,0.000110708
96.1,-0.00002976,0.000110444
96.2,-0.00002958,0.000110181
96.3,-0.000029342,0.000109888
96.4,-0.000029139,0.000109589
96.5,-0.000028956,0.000109285
96.6,-0.000028773,0.000108982
96.7,-0.00002859,0.000108679
96.8,-0.000028401,0.000108395
96.9,-0.000028208,0.000108123
97,-0.00002804,0.000107865
97.1,-0.000027876,0.00010761
97.2,-0.000027712,0.000107355
97.3,-0.000027559,0.000107092
97.4,-0.000027409,0.000106826
97.5,-0.000027259,0.000106561
97.6,-0.000027109,0.000106296
97.7,-0.00002696,0.000106032
97.8,-0.000026735,0.000105751
97.9,-0.000026509,0.00010547
98,-0.000026284,0.00010519
98.1,-0.000026059,0.000104922
98.2,-0.000025859,0.000104671
98.3,-0.000025692,0.000104433
98.4,-0.000025538,0.00010418
98.5,-0.000025393,0.000103918
98.6,-0.000025246,0.000103652
98.7,-0.000025092,0.000103377
98.8,-0.000024939,0.000103101
98.9,-0.000024777,0.000102827
99,-0.000024592,0.000102558
99.1,-0.000024407,0.000102288
99.2,-0.000024216,0.000102022
99.3,-0.000024025,0.000101756
99.4,-0.000023833,0.000101496
99.5,-0.00002364,0.000101241
99.6,-0.00002346,0.000100976
99.7,-0.000023287,0.000100705
99.8,-0.000023113,0.000100434
99.9,-0.000022944,0.000100181
100,-0.000022778,0.000099946
